"","GITR","LENI","MICA","PLER","ACAM","AMME","MAEL","PLNO","TWIL","feasibility","niche_diff","fitness_diff","draw","comp"
"35",1,1,1,1,0,0,0,0,0,0,-3.55996491916917,44.9398898458314,3122,"111100000"
"36",1,1,1,1,0,0,0,0,0,0,-2.34327919081653,30.6474980541684,666,"111100000"
"37",1,1,1,1,0,0,0,0,0,0,-3.25409157411744,40.4230130435855,1125,"111100000"
"38",1,1,1,1,0,0,0,0,0,0,-2.25286274385918,42.8975132059431,33,"111100000"
"39",1,1,1,1,0,0,0,0,0,0,-7.84200993935152,33.4524854058506,1671,"111100000"
"40",1,1,1,1,0,0,0,0,0,0,-2.88217310179375,31.2684538262622,2714,"111100000"
"41",1,1,1,1,0,0,0,0,0,0,-3.0746871882745,28.0991152075135,946,"111100000"
"42",1,1,1,1,0,0,0,0,0,0,-3.08095087407275,34.3233541386606,2718,"111100000"
"43",1,1,1,1,0,0,0,0,0,0,-3.11745987090631,36.3361693695199,2372,"111100000"
"44",1,1,1,1,0,0,0,0,0,0,-1.66136257135522,28.8957184320876,1117,"111100000"
"45",1,1,1,1,0,0,0,0,0,0,-2.60777409274867,32.3051212065991,3186,"111100000"
"46",1,1,1,1,0,0,0,0,0,0,-2.11330761450715,50.5536830402105,2648,"111100000"
"47",1,1,1,1,0,0,0,0,0,0,-3.0803403277152,45.2837572085181,3379,"111100000"
"48",1,1,1,1,0,0,0,0,0,0,-2.56695965197865,48.8612826344112,2742,"111100000"
"49",1,1,1,1,0,0,0,0,0,0,-3.20078308740996,30.0551269404719,2336,"111100000"
"50",1,1,1,1,0,0,0,0,0,0,-3.07457337142024,26.6996721977223,267,"111100000"
"51",1,1,1,1,0,0,0,0,0,0,-2.78019291303207,36.0751517072436,1359,"111100000"
"52",1,1,1,1,0,0,0,0,0,0,-2.95623976255906,39.5167165511116,1441,"111100000"
"53",1,1,1,1,0,0,0,0,0,0,-2.21588934182775,33.7234858442239,1962,"111100000"
"54",1,1,1,1,0,0,0,0,0,0,-2.78653475050444,31.7661708585133,3717,"111100000"
"55",1,1,1,1,0,0,0,0,0,0,-2.54215312891602,32.4342272440987,347,"111100000"
"56",1,1,1,1,0,0,0,0,0,0,-3.7315877486342,36.8945557908884,2090,"111100000"
"57",1,1,1,1,0,0,0,0,0,0,-2.58462931418092,34.0037627490581,3406,"111100000"
"58",1,1,1,1,0,0,0,0,0,0,-2.75934402964365,42.1872848632096,2061,"111100000"
"59",1,1,1,1,0,0,0,0,0,0,-4.04718453945559,38.4509262650877,3699,"111100000"
