"","ANAR","BRHO","CESO","LOMU","TACA","THIR","feasibility","niche_diff","fitness_diff","draw","comp"
"82",1,1,1,0,1,0,0,-1.77454390125723,35.872095631483,2727,"111010"
"83",1,1,1,0,1,0,0,-2.29981558140349,31.7369056166164,2960,"111010"
"84",1,1,1,0,1,0,0,-1.1821820653467,54.7312121000675,3738,"111010"
"85",1,1,1,0,1,0,0,-1.81630617931106,28.8054179254856,1567,"111010"
"86",1,1,1,0,1,0,0,-1.40992305319004,28.9071809816161,1930,"111010"
"87",1,1,1,0,1,0,0,-1.67536616235971,36.6639369191764,3714,"111010"
"88",1,1,1,0,1,0,0,-1.90847381052728,30.5067284513457,435,"111010"
"89",1,1,1,0,1,0,0,-1.71984766795307,36.0610038529438,1461,"111010"
"90",1,1,1,0,1,0,0,-1.52701342672999,24.534094647504,2661,"111010"
"91",1,1,1,0,1,0,0,-1.77318375218055,38.957423047733,1967,"111010"
"92",1,1,1,0,1,0,0,-2.08286990096463,53.9637623320187,2087,"111010"
"93",1,1,1,0,1,0,0,-1.83327038241454,38.1548683388052,2137,"111010"
"94",1,1,1,0,1,0,0,-1.65357440970177,27.1017415243164,2578,"111010"
"95",1,1,1,0,1,0,0,-1.44794219309035,20.5989440955551,899,"111010"
"96",1,1,1,0,1,0,0,-1.81702674241416,43.438761646824,3030,"111010"
"97",1,1,1,0,1,0,0,-1.48828855747203,40.7652661831801,2602,"111010"
"98",1,1,1,0,1,0,0,-1.26141961416074,32.4860623003534,394,"111010"
"99",1,1,1,0,1,0,0,-1.27091737452733,37.1077085586164,3326,"111010"
"100",1,1,1,0,1,0,0,-2.26418367081299,45.9961197596105,2240,"111010"
"101",1,1,1,0,1,0,0,-2.16792262009253,36.3331901090476,1979,"111010"
"102",1,1,1,0,1,0,0,-2.61490940262094,47.3288013160947,1871,"111010"
"103",1,1,1,0,1,0,0,-2.68095562512103,35.4189295479869,1013,"111010"
"104",1,1,1,0,1,0,0,-1.66987196530092,45.8607504751647,2509,"111010"
"105",1,1,1,0,1,0,0,-1.2630328511538,19.9145234131321,602,"111010"
"106",1,1,1,0,1,0,0,-1.55377542660213,34.9657595950169,2794,"111010"
"107",1,1,1,0,1,0,0,-1.93534311390149,41.8326679560367,3694,"111010"
"108",1,1,1,0,1,0,0,-1.37679736586052,31.4964265658442,860,"111010"
"109",1,1,1,0,1,0,0,-1.32255429903957,50.2032887744575,2978,"111010"
"110",1,1,1,0,1,0,0,-3.81062556729171,31.4912812825549,1401,"111010"
"111",1,1,1,0,1,0,0,-1.5572674667326,46.033563477514,763,"111010"
"112",1,1,1,0,1,0,0,-1.91588358646174,26.0179768097018,192,"111010"
"113",1,1,1,0,1,0,0,-1.93861714801927,28.3781363412968,1028,"111010"
"114",1,1,1,0,1,0,0,-1.75783860835258,55.7472252903636,2111,"111010"
"115",1,1,1,0,1,0,0,-2.23592961220036,38.7341437918913,532,"111010"
"116",1,1,1,0,1,0,0,-1.86580043359746,44.0878047800203,2623,"111010"
"117",1,1,1,0,1,0,0,-1.73588163697159,41.2441442038133,2909,"111010"
"118",1,1,1,0,1,0,0,-2.26188422186652,30.2187416404875,867,"111010"
"119",1,1,1,0,1,0,0,-2.56332424315896,41.6324900167947,855,"111010"
"120",1,1,1,0,1,0,0,-1.32384761352989,33.0555414064653,3071,"111010"
"121",1,1,1,0,1,0,0,-2.46280537814653,36.7789888061931,1248,"111010"
"122",1,1,1,0,1,0,0,-2.55008012785824,33.1543151165052,2801,"111010"
"123",1,1,1,0,1,0,0,-2.60974071767742,37.2591274054687,176,"111010"
"124",1,1,1,0,1,0,0,-1.81626634514212,23.3532695688149,2142,"111010"
"125",1,1,1,0,1,0,0,-1.96863576441939,40.975396288781,1684,"111010"
