"","unique.ID","treatment","block","plot","sub","bkgrd","dens","phyto","phyto.seed.out","Nbrhood.size","phyto.n.indiv","ACAM","BRNI","ANAR","BRHO","AMME","PLNO","MICA","TACA","CESO","CLPU","LOMU","TWIL","PLER","LENI","AVBA","GITR","MAEL","THIR","combos","weeds","trt"
"4534",9757,"C",15,15,5,"PLNO","none","ACAM",24.5703485514028,"10",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ACAM_PLNO_C",2,1
"4535",9757,"C",15,15,5,"MICA","none","ACAM",24.5703485514028,"10",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ACAM_MICA_C",2,1
"4536",9757,"C",15,15,5,"TACA","none","ACAM",24.5703485514028,"10",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ACAM_TACA_C",2,1
"4537",9757,"C",15,15,5,"CLPU","none","ACAM",24.5703485514028,"10",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ACAM_CLPU_C",2,1
"4538",9757,"C",15,15,5,"LOMU","none","ACAM",24.5703485514028,"10",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ACAM_LOMU_C",2,1
"4539",9757,"C",15,15,5,"TWIL","none","ACAM",24.5703485514028,"10",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ACAM_TWIL_C",2,1
"4540",9757,"C",15,15,5,"PLER","none","ACAM",24.5703485514028,"10",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ACAM_PLER_C",2,1
"4541",9757,"C",15,15,5,"LENI","none","ACAM",24.5703485514028,"10",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ACAM_LENI_C",2,1
"4542",9757,"C",15,15,5,"AVBA","none","ACAM",24.5703485514028,"10",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ACAM_AVBA_C",2,1
"4543",9757,"C",15,15,5,"GITR","none","ACAM",24.5703485514028,"10",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ACAM_GITR_C",2,1
"4544",9757,"C",15,15,5,"MAEL","none","ACAM",24.5703485514028,"10",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ACAM_MAEL_C",2,1
"4545",11970,"D",3,22,25,"ACAM","none","ANAR",437.069217646951,"10",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ANAR_ACAM_D",14,0
"4546",11970,"D",3,22,25,"BRNI","none","ANAR",437.069217646951,"10",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ANAR_BRNI_D",14,0
"4547",11970,"D",3,22,25,"ANAR","none","ANAR",437.069217646951,"10",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ANAR_ANAR_D",14,0
"4548",11970,"D",3,22,25,"BRHO","none","ANAR",437.069217646951,"10",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ANAR_BRHO_D",14,0
"4549",11970,"D",3,22,25,"AMME","none","ANAR",437.069217646951,"10",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ANAR_AMME_D",14,0
"4550",11970,"D",3,22,25,"PLNO","none","ANAR",437.069217646951,"10",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ANAR_PLNO_D",14,0
"4551",11970,"D",3,22,25,"MICA","none","ANAR",437.069217646951,"10",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ANAR_MICA_D",14,0
"4552",11970,"D",3,22,25,"TACA","none","ANAR",437.069217646951,"10",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ANAR_TACA_D",14,0
"4553",11970,"D",3,22,25,"CESO","none","ANAR",437.069217646951,"10",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ANAR_CESO_D",14,0
"4554",11970,"D",3,22,25,"CLPU","none","ANAR",437.069217646951,"10",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ANAR_CLPU_D",14,0
"4555",11970,"D",3,22,25,"LOMU","none","ANAR",437.069217646951,"10",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ANAR_LOMU_D",14,0
"4556",11970,"D",3,22,25,"TWIL","none","ANAR",437.069217646951,"10",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ANAR_TWIL_D",14,0
"4557",11970,"D",3,22,25,"PLER","none","ANAR",437.069217646951,"10",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ANAR_PLER_D",14,0
