"","species","treatment","outstrength","type","post.draw"
"223","ACAM","C",0.051025750172299,"net_comp",2085
"224","ACAM","D",0.302451855246458,"net_comp",2085
"225","ACAM","C",0.111167457777258,"abs_value",2249
"226","ACAM","D",0.418934595548558,"abs_value",2249
"227","ACAM","C",-0.00389785306265843,"net_value",2249
"228","ACAM","D",-0.241133778312949,"net_value",2249
"229","ACAM","C",-0.057532655419958,"net_facil",2249
"230","ACAM","D",-0.330034186930753,"net_facil",2249
"231","ACAM","C",0.0536348023572996,"net_comp",2249
"232","ACAM","D",0.0889004086178049,"net_comp",2249
"233","ACAM","C",0.356200259292178,"abs_value",1481
"234","ACAM","D",0.336005229310125,"abs_value",1481
"235","ACAM","C",0.0565648913662488,"net_value",1481
"236","ACAM","D",0.317973190365078,"net_value",1481
"237","ACAM","C",-0.149817683962965,"net_facil",1481
"238","ACAM","D",-0.00901601947252345,"net_facil",1481
"239","ACAM","C",0.206382575329213,"net_comp",1481
"240","ACAM","D",0.326989209837601,"net_comp",1481
"241","ACAM","C",0.272580031459765,"abs_value",610
"242","ACAM","D",0.589592221073984,"abs_value",610
"243","ACAM","C",0.20604584859727,"net_value",610
"244","ACAM","D",-0.458401122197661,"net_value",610
"245","ACAM","C",-0.0332670914312476,"net_facil",610
"246","ACAM","D",-0.523996671635823,"net_facil",610
"247","ACAM","C",0.239312940028517,"net_comp",610
"248","ACAM","D",0.0655955494381617,"net_comp",610
"249","ACAM","C",0.46273699541589,"abs_value",2667
"250","ACAM","D",0.601900392747666,"abs_value",2667
"251","ACAM","C",-0.427706240675686,"net_value",2667
"252","ACAM","D",0.237026733041854,"net_value",2667
"253","ACAM","C",-0.445221618045788,"net_facil",2667
"254","ACAM","D",-0.182436829852906,"net_facil",2667
"255","ACAM","C",0.0175153773701022,"net_comp",2667
"256","ACAM","D",0.41946356289476,"net_comp",2667
"257","ACAM","C",0.0678821819500665,"abs_value",1577
"258","ACAM","D",1.04149182329247,"abs_value",1577
"259","ACAM","C",0.0533881448082109,"net_value",1577
"260","ACAM","D",-0.723009547336493,"net_value",1577
"261","ACAM","C",-0.0072470185709278,"net_facil",1577
"262","ACAM","D",-0.882250685314483,"net_facil",1577
"263","ACAM","C",0.0606351633791387,"net_comp",1577
"264","ACAM","D",0.159241137977989,"net_comp",1577
"265","ACAM","C",0.145307470539862,"abs_value",985
"266","ACAM","D",0.496657193382574,"abs_value",985
"267","ACAM","C",0.0636907100815541,"net_value",985
"268","ACAM","D",-0.254259167813595,"net_value",985
"269","ACAM","C",-0.0408083802291539,"net_facil",985
"270","ACAM","D",-0.375458180598084,"net_facil",985
"271","ACAM","C",0.104499090310708,"net_comp",985
"272","ACAM","D",0.121199012784489,"net_comp",985
"273","ACAM","C",0.131232423808899,"abs_value",3430
"274","ACAM","D",0.615700887865709,"abs_value",3430
"275","ACAM","C",-0.109817862147883,"net_value",3430
"276","ACAM","D",-0.171199172037352,"net_value",3430
"277","ACAM","C",-0.120525142978391,"net_facil",3430
"278","ACAM","D",-0.39345002995153,"net_facil",3430
"279","ACAM","C",0.0107072808305081,"net_comp",3430
"280","ACAM","D",0.222250857914178,"net_comp",3430
"281","ACAM","C",0.189054506469735,"abs_value",1216
"282","ACAM","D",0.686164751816773,"abs_value",1216
"283","ACAM","C",-0.158608529559892,"net_value",1216
"284","ACAM","D",0.5037481435276,"net_value",1216
"285","ACAM","C",-0.173831518014813,"net_facil",1216
"286","ACAM","D",-0.0912083041445868,"net_facil",1216
"287","ACAM","C",0.0152229884549213,"net_comp",1216
"288","ACAM","D",0.594956447672187,"net_comp",1216
"289","ACAM","C",0.184955679181838,"abs_value",2931
"290","ACAM","D",0.374814380819561,"abs_value",2931
"291","ACAM","C",0.0741441224816176,"net_value",2931
"292","ACAM","D",0.173472352828392,"net_value",2931
"293","ACAM","C",-0.05540577835011,"net_facil",2931
"294","ACAM","D",-0.100671013995584,"net_facil",2931
"295","ACAM","C",0.129549900831728,"net_comp",2931
"296","ACAM","D",0.274143366823976,"net_comp",2931
"297","ACAM","C",0.162765250710108,"abs_value",2796
"298","ACAM","D",0.393607598592059,"abs_value",2796
"299","ACAM","C",0.00643811011591504,"net_value",2796
"300","ACAM","D",0.362055873054033,"net_value",2796
"301","ACAM","C",-0.0781635702970965,"net_facil",2796
"302","ACAM","D",-0.0157758627690127,"net_facil",2796
"303","ACAM","C",0.0846016804130115,"net_comp",2796
"304","ACAM","D",0.377831735823046,"net_comp",2796
"305","ACAM","C",0.145067279742222,"abs_value",1852
"306","ACAM","D",0.253711791153869,"abs_value",1852
"307","ACAM","C",0.121434675925133,"net_value",1852
"308","ACAM","D",0.183795886658113,"net_value",1852
"309","ACAM","C",-0.0118163019085446,"net_facil",1852
"310","ACAM","D",-0.0349579522478776,"net_facil",1852
"311","ACAM","C",0.133250977833678,"net_comp",1852
"312","ACAM","D",0.218753838905991,"net_comp",1852
"313","ACAM","C",0.259848650301064,"abs_value",199
"314","ACAM","D",0.352571519832559,"abs_value",199
"315","ACAM","C",-0.225638875709785,"net_value",199
"316","ACAM","D",0.260903245133888,"net_value",199
"317","ACAM","C",-0.242743763005425,"net_facil",199
"318","ACAM","D",-0.0458341373493358,"net_facil",199
"319","ACAM","C",0.0171048872956395,"net_comp",199
"320","ACAM","D",0.306737382483224,"net_comp",199
"321","ACAM","C",0.278296753723337,"abs_value",3711
"322","ACAM","D",0.342865184255896,"abs_value",3711
"323","ACAM","C",-0.261393627333668,"net_value",3711
"324","ACAM","D",0.335061626523353,"net_value",3711
"325","ACAM","C",-0.269845190528502,"net_facil",3711
"326","ACAM","D",-0.00390177886627169,"net_facil",3711
"327","ACAM","C",0.00845156319483458,"net_comp",3711
"328","ACAM","D",0.338963405389624,"net_comp",3711
"329","ACAM","C",0.595474923960533,"abs_value",1138
"330","ACAM","D",0.205039997751741,"abs_value",1138
"331","ACAM","C",0.556814231847816,"net_value",1138
"332","ACAM","D",-0.0466173593246401,"net_value",1138
"333","ACAM","C",-0.0193303460563586,"net_facil",1138
"334","ACAM","D",-0.12582867853819,"net_facil",1138
"335","ACAM","C",0.576144577904175,"net_comp",1138
"336","ACAM","D",0.0792113192135503,"net_comp",1138
"337","ACAM","C",0.321486694851413,"abs_value",432
"338","ACAM","D",0.747919963215516,"abs_value",432
"339","ACAM","C",0.310525513161563,"net_value",432
"340","ACAM","D",0.354336587585943,"net_value",432
"341","ACAM","C",-0.00548059084492484,"net_facil",432
"342","ACAM","D",-0.196791687814786,"net_facil",432
"343","ACAM","C",0.316006104006488,"net_comp",432
"344","ACAM","D",0.551128275400729,"net_comp",432
"345","ACAM","C",0.254057424940048,"abs_value",2035
"346","ACAM","D",0.181286365938307,"abs_value",2035
"347","ACAM","C",0.102387928445815,"net_value",2035
"348","ACAM","D",0.00459818609377256,"net_value",2035
"349","ACAM","C",-0.0758347482471163,"net_facil",2035
"350","ACAM","D",-0.0883440899222672,"net_facil",2035
"351","ACAM","C",0.178222676692931,"net_comp",2035
"352","ACAM","D",0.0929422760160397,"net_comp",2035
"353","ACAM","C",0.279547077695623,"abs_value",511
"354","ACAM","D",0.32615168679937,"abs_value",511
"355","ACAM","C",0.11762461353939,"net_value",511
"356","ACAM","D",-0.205572956075504,"net_value",511
"357","ACAM","C",-0.0809612320781162,"net_facil",511
"358","ACAM","D",-0.265862321437437,"net_facil",511
"359","ACAM","C",0.198585845617507,"net_comp",511
"360","ACAM","D",0.0602893653619329,"net_comp",511
"361","ACAM","C",0.105927647518711,"abs_value",844
"362","ACAM","D",0.358846670135982,"abs_value",844
"363","ACAM","C",0.0628763644847352,"net_value",844
"364","ACAM","D",-0.042639444082035,"net_value",844
"365","ACAM","C",-0.021525641516988,"net_facil",844
"366","ACAM","D",-0.200743057109008,"net_facil",844
"367","ACAM","C",0.0844020060017232,"net_comp",844
"368","ACAM","D",0.158103613026973,"net_comp",844
"369","ACAM","C",0.184799110328833,"abs_value",1174
"370","ACAM","D",0.101261935656351,"abs_value",1174
"371","ACAM","C",0.0692891574591612,"net_value",1174
"372","ACAM","D",0.0539483848283034,"net_value",1174
"373","ACAM","C",-0.0577549764348359,"net_facil",1174
"374","ACAM","D",-0.0236567754140238,"net_facil",1174
"375","ACAM","C",0.127044133893997,"net_comp",1174
"376","ACAM","D",0.0776051602423272,"net_comp",1174
"377","ACAM","C",0.265229724452479,"abs_value",2855
"378","ACAM","D",0.491022292211288,"abs_value",2855
"379","ACAM","C",0.0792287423064013,"net_value",2855
"380","ACAM","D",0.14631498550051,"net_value",2855
"381","ACAM","C",-0.0930004910730387,"net_facil",2855
"382","ACAM","D",-0.172353653355389,"net_facil",2855
"383","ACAM","C",0.17222923337944,"net_comp",2855
"384","ACAM","D",0.318668638855899,"net_comp",2855
"385","ACAM","C",0.367141321213599,"abs_value",2248
"386","ACAM","D",0.442739599447959,"abs_value",2248
"387","ACAM","C",-0.111948969188149,"net_value",2248
"388","ACAM","D",-0.155497595370304,"net_value",2248
"389","ACAM","C",-0.239545145200874,"net_facil",2248
"390","ACAM","D",-0.299118597409131,"net_facil",2248
"391","ACAM","C",0.127596176012725,"net_comp",2248
"392","ACAM","D",0.143621002038827,"net_comp",2248
"393","ACAM","C",0.296909123224884,"abs_value",2699
"394","ACAM","D",0.816318052530457,"abs_value",2699
"395","ACAM","C",-0.150553125072067,"net_value",2699
"396","ACAM","D",-0.519061887256467,"net_value",2699
"397","ACAM","C",-0.223731124148475,"net_facil",2699
"398","ACAM","D",-0.667689969893462,"net_facil",2699
"399","ACAM","C",0.0731779990764088,"net_comp",2699
"400","ACAM","D",0.148628082636995,"net_comp",2699
"401","ACAM","C",0.896948972085314,"abs_value",2004
"402","ACAM","D",0.756786121716419,"abs_value",2004
"403","ACAM","C",0.287550624432282,"net_value",2004
"404","ACAM","D",-0.457849247923427,"net_value",2004
"405","ACAM","C",-0.304699173826516,"net_facil",2004
"406","ACAM","D",-0.607317684819923,"net_facil",2004
"407","ACAM","C",0.592249798258798,"net_comp",2004
"408","ACAM","D",0.149468436896496,"net_comp",2004
"409","ACAM","C",0.393919755790701,"abs_value",2453
"410","ACAM","D",1.05406957694021,"abs_value",2453
"411","ACAM","C",0.0738228752204904,"net_value",2453
"412","ACAM","D",0.927658256448816,"net_value",2453
"413","ACAM","C",-0.160048440285105,"net_facil",2453
"414","ACAM","D",-0.0632056602456959,"net_facil",2453
"415","ACAM","C",0.233871315505596,"net_comp",2453
"416","ACAM","D",0.990863916694512,"net_comp",2453
"417","ACAM","C",0.218605527740943,"abs_value",1328
"418","ACAM","D",0.103677484341432,"abs_value",1328
"419","ACAM","C",0.0626953360177744,"net_value",1328
"420","ACAM","D",0.015479166103491,"net_value",1328
"421","ACAM","C",-0.0779550958615843,"net_facil",1328
"422","ACAM","D",-0.0440991591189703,"net_facil",1328
"423","ACAM","C",0.140650431879359,"net_comp",1328
"424","ACAM","D",0.0595783252224614,"net_comp",1328
"425","ACAM","C",0.261021071900836,"abs_value",3692
"426","ACAM","D",0.627318831798582,"abs_value",3692
"427","ACAM","C",0.156378040784983,"net_value",3692
"428","ACAM","D",0.341219581883165,"net_value",3692
"429","ACAM","C",-0.0523215155579266,"net_facil",3692
"430","ACAM","D",-0.143049624957709,"net_facil",3692
"431","ACAM","C",0.208699556342909,"net_comp",3692
"432","ACAM","D",0.484269206840874,"net_comp",3692
"433","ACAM","C",0.202215335652071,"abs_value",3468
"434","ACAM","D",0.054354244246714,"abs_value",3468
"435","ACAM","C",0.166053080019548,"net_value",3468
"436","ACAM","D",0.0445162575847112,"net_value",3468
"437","ACAM","C",-0.0180811278162618,"net_facil",3468
"438","ACAM","D",-0.00491899333100141,"net_facil",3468
"439","ACAM","C",0.184134207835809,"net_comp",3468
"440","ACAM","D",0.0494352509157126,"net_comp",3468
"441","ACAM","C",0.33735156195061,"abs_value",2580
"442","ACAM","D",0.250800758987189,"abs_value",2580
"443","ACAM","C",-0.227875326020585,"net_value",2580
"444","ACAM","D",-0.103756350352456,"net_value",2580
"445","ACAM","C",-0.282613443985598,"net_facil",2580
"446","ACAM","D",-0.177278554669823,"net_facil",2580
"447","ACAM","C",0.0547381179650124,"net_comp",2580
"448","ACAM","D",0.0735222043173664,"net_comp",2580
"449","ACAM","C",0.173650258875867,"abs_value",782
"450","ACAM","D",0.27247255687449,"abs_value",782
"451","ACAM","C",0.000893734110140579,"net_value",782
"452","ACAM","D",0.135902725116783,"net_value",782
"453","ACAM","C",-0.0863782623828631,"net_facil",782
"454","ACAM","D",-0.0682849158788535,"net_facil",782
"455","ACAM","C",0.0872719964930036,"net_comp",782
"456","ACAM","D",0.204187640995636,"net_comp",782
"457","ACAM","C",0.10484655738311,"abs_value",10
"458","ACAM","D",0.219040563850435,"abs_value",10
"459","ACAM","C",-0.0939350143291813,"net_value",10
"460","ACAM","D",0.00746140995650829,"net_value",10
