"","species","treatment","parameter_type","mean_parameter","median_parameter","hdi_lo","hdi_hi"
"31","TWIL","C","lambda",28.6373543324425,26.3562524930305,11.1008878222406,48.8928721667947
"32","TWIL","D","lambda",20.9940261595711,19.7927981256651,10.8635608961756,33.9947485852763
"33","ACAM","C","alpha_acam",-0.190030937704009,-0.184284438607039,-0.35576905042666,-0.0430385257391932
"34","ACAM","C","alpha_amme",-0.207696045508709,-0.177318948332534,-0.683728080585279,0.139738394007519
"35","ACAM","C","alpha_anar",0.00907745896564044,0.00975431195268477,-0.0136546025690067,0.029344711760326
"36","ACAM","C","alpha_brni",0.0119320488924792,0.013125651790176,-0.0336961002443474,0.0568841291159103
"37","ACAM","C","alpha_gitr",0.0364152564027748,0.0374967797436907,0.000826214688492891,0.0701302668593175
"38","ACAM","C","alpha_leni",0.0379429931674914,0.0400688925567524,-0.0199678474134875,0.091484587277472
"39","ACAM","C","alpha_lomu",-0.0114888352733572,-0.00750399803960673,-0.158030924776386,0.111109799518336
"40","ACAM","C","alpha_mael",-0.0982209099846755,-0.0810450797760047,-0.521203622448194,0.344745693770075
"41","ACAM","C","alpha_mica",-0.026001901648913,-0.0232363421529302,-0.0852912659948235,0.0319069796743782
"42","ACAM","C","alpha_pler",0.0285183910512873,0.0293083520164252,-0.0110991163542949,0.0654092769534621
"43","ACAM","C","alpha_plno",-0.0204719328750066,-0.0127761197297225,-0.164812018344864,0.108929865382502
"44","ACAM","C","alpha_taca",0.399126527518558,0.404601880523671,0.0640238465309578,0.696475785988161
"45","ACAM","C","alpha_twil",0.0218326452734397,0.0323089292044153,-0.198458090167044,0.214084079084773
"46","ACAM","D","alpha_acam",-0.187337159885869,-0.179249641191418,-0.645206062598731,0.213541002111068
"47","ACAM","D","alpha_amme",0.324944225422495,0.33423488884339,-0.0134253658360901,0.613011483276821
"48","ACAM","D","alpha_anar",-0.00383912325852019,-0.00256653838505251,-0.0592256758440977,0.057792115542183
"49","ACAM","D","alpha_brho",-0.0365476999449488,-0.0362378632248348,-0.0607665668606221,-0.0119999554466835
"50","ACAM","D","alpha_brni",0.121343714154212,0.121335085079891,0.0453895730435825,0.190522339979191
"51","ACAM","D","alpha_ceso",0.319839516646902,0.323344633443592,0.026910520010955,0.599175976981294
"52","ACAM","D","alpha_gitr",0.00543081378297796,0.00582735481395335,-0.0146904022549865,0.0268729597029092
"53","ACAM","D","alpha_leni",0.114232788682075,0.114850049599376,0.0509381274598384,0.174625941166819
"54","ACAM","D","alpha_lomu",0.141070199102607,0.14174467102124,0.0391043961777372,0.245057899354638
"55","ACAM","D","alpha_mica",0.0192093203845027,0.0198361381515356,-0.0142232385404067,0.0506053011793936
"56","ACAM","D","alpha_pler",0.0557928405002249,0.0563145564522433,0.0235092440802439,0.0898385092970119
"57","ACAM","D","alpha_taca",0.130008288867872,0.130658419258547,0.0506525083424606,0.207044067890452
"58","ACAM","D","alpha_thir",0.139230773033881,0.141719453611197,-0.0544865313211731,0.308208325648877
"59","ACAM","D","alpha_twil",-0.0392193905277822,-0.036658213544109,-0.147491224069084,0.0566156092473667
"60","AMME","C","alpha_amme",-0.258566301462853,-0.250894280713034,-0.509495737398944,-0.00322516384955063
"61","AMME","C","alpha_anar",-0.0236843503491464,-0.0230941405620085,-0.0456638269774444,-0.00447265734626091
"62","AMME","C","alpha_brho",0.00311942440437687,0.00381367600443999,-0.0157796324960453,0.0215693859774584
"63","AMME","C","alpha_brni",0.01931030444031,0.0209922020147163,-0.022654515831169,0.0581914111111556
"64","AMME","C","alpha_leni",0.0137864657270025,0.0146238307561472,-0.0211507702316388,0.0441848477859797
"65","AMME","C","alpha_lomu",-0.0150929565265277,-0.0136644710087328,-0.0553350751434376,0.0188895022811248
"66","AMME","C","alpha_mica",-0.00383358178999939,-0.00338695857887528,-0.0169402723189989,0.00834719846915799
