"","ACAM","AMME","GITR","LENI","MAEL","MICA","PLER","PLNO","TWIL","feasibility","niche_diff","fitness_diff","draw"
"163",0,0,1,1,0,1,1,0,0,0,-3.65521752698012,38.6298316268432,3352
"164",0,0,1,1,0,1,1,0,0,0,-2.52370526105919,36.5781645370613,2165
"165",0,0,1,1,0,1,1,0,0,0,-2.56047226000291,41.4626370183588,2610
"166",0,0,1,1,0,1,1,0,0,0,-2.89322836540517,39.6667809311991,1709
"167",0,0,1,1,0,1,1,0,0,0,-2.17072519131791,46.086564750366,151
"168",0,0,1,1,0,1,1,0,0,0,-2.80186796485538,47.7596743082531,3217
"169",0,0,1,1,0,1,1,0,0,0,-2.20460082334516,47.511441154938,2347
"170",0,0,1,1,0,1,1,0,0,0,-2.96418250266687,36.3538080515815,1817
"171",0,0,1,1,0,1,1,0,0,0,-3.15410303564421,33.5896665001874,129
"172",0,0,1,1,0,1,1,0,0,0,-2.61095812043218,36.0338750731703,68
"173",0,0,1,1,0,1,1,0,0,0,-2.44826750897612,54.0250457334951,3550
"174",0,0,1,1,0,1,1,0,0,0,-2.38601721317257,47.9982848751539,2397
"175",0,0,1,1,0,1,1,0,0,0,-3.06356977174923,38.111111750967,1007
"176",0,0,1,1,0,1,1,0,0,0,-2.948562886495,36.9963577893461,636
"177",0,0,1,1,0,1,1,0,0,0,-2.97591319124069,33.7873056814395,3544
"178",0,0,1,1,0,1,1,0,0,0,-2.60955477042934,27.852473080084,1133
"179",0,0,1,1,0,1,1,0,0,0,-2.42374195510384,47.8033540393039,102
"180",0,0,1,1,0,1,1,0,0,0,-2.54207199208215,44.7817908693561,757
"181",0,0,1,1,0,1,1,0,0,0,-2.90599827924924,31.676200926141,1959
"182",0,0,1,1,0,1,1,0,0,0,-2.30854839436807,45.7841391348594,990
"183",0,0,1,1,0,1,1,0,0,0,-2.63841339193633,34.3789660274287,1858
"184",0,0,1,1,0,1,1,0,0,0,-2.55676361070936,39.046771649833,3720
"185",0,0,1,1,0,1,1,0,0,0,-1.90349771865571,25.2849987774054,2353
"186",0,0,1,1,0,1,1,0,0,0,-2.89742352967242,38.5193072552024,2460
"187",0,0,1,1,0,1,1,0,0,0,-2.88900416041048,29.0447001547184,2332
"188",0,0,1,1,0,1,1,0,0,0,-2.90142385933916,23.8946611534421,1585
"189",0,0,1,1,0,1,1,0,0,0,-2.07744288953499,33.2243025400859,2956
"190",0,0,1,1,0,1,1,0,0,0,-2.51694358445398,38.3472889888642,3640
"191",0,0,1,1,0,1,1,0,0,0,-2.52132500872208,35.3553098222587,872
