"","ANAR","BRHO","CESO","LOMU","TACA","THIR","feasibility","niche_diff","fitness_diff","draw"
"125",1,1,1,0,1,0,0,-1.81626634514212,23.3532695688149,2142
"126",1,1,1,0,1,0,0,-1.96863576441939,40.975396288781,1684
"127",1,1,1,0,1,0,0,-1.73523197586074,48.2715517403954,3254
"128",1,1,1,0,1,0,0,-1.94054424596395,25.9010297316783,2873
"129",1,1,1,0,1,0,0,-1.79566653516063,32.4582985678892,3299
"130",1,1,1,0,1,0,0,-1.75982283586201,35.9373630500198,1532
"131",1,1,1,0,1,0,0,-1.84449921726431,39.7190400382884,3099
"132",1,1,1,0,1,0,0,-2.12964194908286,48.5964260024776,905
"133",1,1,1,0,1,0,0,-2.43336693516099,41.7909853014087,3152
"134",1,1,1,0,1,0,0,-2.59401728571492,34.4173653496063,1456
"135",1,1,1,0,1,0,0,-2.06993757870785,58.9655897610543,649
"136",1,1,1,0,1,0,0,-1.53697483649734,29.6793044093204,2525
"137",1,1,1,0,1,0,0,-2.02028985525751,33.8543915278323,3279
"138",1,1,1,0,1,0,0,-2.80130423239454,33.5165451103371,369
"139",1,1,1,0,1,0,0,-1.54581941129572,30.0783629256707,1910
"140",1,1,1,0,1,0,0,-1.74787286912253,13.6172660210661,298
"141",1,1,1,0,1,0,0,-2.17043151354919,29.874615226356,631
"142",1,1,1,0,1,0,0,-1.65063222053617,35.5361600029356,457
"143",1,1,1,0,1,0,0,-2.5541494332538,34.2548415787754,2120
"144",1,1,1,0,1,0,0,-1.48370265519231,38.2571684425066,1374
"145",1,1,1,0,1,0,0,-2.53423959223851,35.2617654167622,1408
"146",1,1,1,0,1,0,0,-1.63026449090297,30.0913861949112,2660
"147",1,1,1,0,1,0,0,-1.34325220285372,36.7151472978903,2619
"148",1,1,1,0,1,0,0,-0.551424803707311,16.4289436470454,2350
"149",1,1,1,0,1,0,0,-2.32928152137547,52.6695443368961,1075
"150",1,1,1,0,1,0,0,-1.9976676526499,67.8201019617401,2419
"151",1,1,1,0,1,0,0,-1.92461319430832,37.6930482420642,2508
"152",1,1,1,0,1,0,0,-2.22651961488532,51.5215430174937,790
"153",1,1,1,0,1,0,0,-2.00591519263536,20.6040572994844,3646
"154",1,1,1,0,1,0,0,-2.1792593776276,31.8977132699348,865
"155",1,1,1,0,1,0,0,-2.5706760502435,40.331454883662,2943
"156",1,1,1,0,1,0,0,-1.13578773326378,40.8157662063161,2957
"157",1,1,1,0,1,0,0,-1.9068850651334,36.5424459803023,1798
"158",1,1,1,0,1,0,0,-1.66002490197078,28.3264120476258,40
"159",1,1,1,0,1,0,0,-2.97908550128653,44.1618305138766,774
"160",1,1,1,0,1,0,0,-2.33927730998071,45.584452786513,1333
"161",1,1,1,0,1,0,0,-1.60156481611293,43.4708966378868,3232
"162",1,1,1,0,1,0,0,-1.54546647045397,30.0094287794657,927
"163",1,1,1,0,1,0,0,-1.65806942397143,32.2374659124061,3352
"164",1,1,1,0,1,0,0,-1.43012781268953,50.2884633527388,2165
"165",1,1,1,0,1,0,0,-1.64769614870124,48.9108128200752,2610
"166",1,1,1,0,1,0,0,-1.84487544738612,24.1472195708839,1709
"167",1,1,1,0,1,0,0,-1.49378064140742,40.5386455538907,151
"168",1,1,1,0,1,0,0,-2.05931892298885,23.1492060710637,3217
"169",1,1,1,0,1,0,0,-2.18114049942966,40.7937553048549,2347
"170",1,1,1,0,1,0,0,-2.26918869830592,18.8355972272818,1817
