"","GITR","LENI","MICA","PLER","ACAM","AMME","PLNO","TWIL","feasibility","niche_diff","fitness_diff","draw"
"59",1,1,1,1,0,0,0,0,0,-2.17548350597524,31.1306712932123,2229
"60",1,1,1,1,0,0,0,0,0,-2.4990597535663,54.3230425155722,3560
"61",1,1,1,1,0,0,0,0,0,-2.94143605359419,48.3469626742173,3637
"62",1,1,1,1,0,0,0,0,0,-2.13795889677698,29.6448509183236,1326
"63",1,1,1,1,0,0,0,0,0,-2.8616971013789,42.3830016462105,96
"64",1,1,1,1,0,0,0,0,0,-4.14300127041085,47.0704804273039,2901
"65",1,1,1,1,0,0,0,0,0,-3.43911571529029,52.0509722403999,2011
"66",1,1,1,1,0,0,0,0,0,-3.62364367713843,46.4156476685441,962
"67",1,1,1,1,0,0,0,0,0,-3.10852201770827,43.8723261564614,2662
"68",1,1,1,1,0,0,0,0,0,-2.27888798709103,32.1907872753568,735
"69",1,1,1,1,0,0,0,0,0,-3.14896380715031,45.4871344420571,2263
"70",1,1,1,1,0,0,0,0,0,-2.50448156451052,28.8561331820346,2080
"71",1,1,1,1,0,0,0,0,0,-2.8689298375469,28.8303029984402,2278
"72",1,1,1,1,0,0,0,0,0,-3.34305861083098,33.8523896952089,2415
"73",1,1,1,1,0,0,0,0,0,-3.04769154470869,54.6295615928185,2318
"74",1,1,1,1,0,0,0,0,0,-2.08800257336721,40.2669754070076,524
"75",1,1,1,1,0,0,0,0,0,-2.07558398263437,42.3873229735812,1727
"76",1,1,1,1,0,0,0,0,0,-4.88527891794651,67.1554597392411,1695
"77",1,1,1,1,0,0,0,0,0,-3.3933582609258,29.1334581806403,64
"78",1,1,1,1,0,0,0,0,0,-2.26995580460668,48.9086905240535,1380
"79",1,1,1,1,0,0,0,0,0,-4.45161676740584,33.6068423248572,400
"80",1,1,1,1,0,0,0,0,0,-2.09615635408983,26.4702052603368,444
"81",1,1,1,1,0,0,0,0,0,-2.69871256657317,46.2672916935246,365
"82",1,1,1,1,0,0,0,0,0,-2.67852672156132,39.5525595299588,294
"83",1,1,1,1,0,0,0,0,0,-2.34024352345252,50.190357073708,665
"84",1,1,1,1,0,0,0,0,0,-4.20456841628161,31.0723848688246,3350
"85",1,1,1,1,0,0,0,0,0,-3.05754172336719,49.8548489591058,2699
"86",1,1,1,1,0,0,0,0,0,-3.03973792457206,40.639486032516,1571
"87",1,1,1,1,0,0,0,0,0,-2.59131633255848,49.1030518526395,703
"88",1,1,1,1,0,0,0,0,0,-2.39519844871806,32.7812385351219,3451
"89",1,1,1,1,0,0,0,0,0,-3.09194551697342,37.3526412336421,605
"90",1,1,1,1,0,0,0,0,0,-2.14726179725779,41.7300329878649,1634
"91",1,1,1,1,0,0,0,0,0,-2.83974853887391,49.084262469866,3649
"92",1,1,1,1,0,0,0,0,0,-4.10337206937476,42.0178799364252,1352
"93",1,1,1,1,0,0,0,0,0,-2.72646774231152,45.9360077837519,2711
