"","ANAR","BRHO","BRNI","CESO","LOMU","TACA","THIR","feasibility","niche_diff","fitness_diff","draw"
"52",1,1,1,1,0,0,0,0,-1.3654881549401,51.6651970453887,975
"53",1,1,1,1,0,0,0,0,-1.82984207891878,44.8009701667004,378
"54",1,1,1,1,0,0,0,0,-1.12782382632096,33.7494670541973,1246
"55",1,1,1,1,0,0,0,0,-1.15568167352025,47.9158542247784,3552
"56",1,1,1,1,0,0,0,0,-2.09027077843715,33.5377095860948,642
"57",1,1,1,1,0,0,0,0,-1.0463819522584,28.3956402325657,3333
"58",1,1,1,1,0,0,0,0,-3.80480883369984,48.2212239946742,3016
"59",1,1,1,1,0,0,0,0,-2.78188746716969,46.8591134966304,1950
"60",1,1,1,1,0,0,0,0,-1.88863219275247,45.1694282957104,233
"61",1,1,1,1,0,0,0,0,-2.13567015579048,53.0617021393147,3093
"62",1,1,1,1,0,0,0,0,-1.69173132880691,57.5683433065752,1378
"63",1,1,1,1,0,0,0,0,-1.77414675635242,40.3880374658615,3512
"64",1,1,1,1,0,0,0,0,-1.61014795902426,50.1288868289335,3597
"65",1,1,1,1,0,0,0,0,-1.50641541756571,40.4256474659358,2598
"66",1,1,1,1,0,0,0,0,-3.01491886635437,44.1557673825391,1840
"67",1,1,1,1,0,0,0,0,-1.51593076201241,40.6026075455106,2504
"68",1,1,1,1,0,0,0,0,-1.67377619906235,52.4756726482502,3051
"69",1,1,1,1,0,0,0,0,-1.50854306014466,43.565475971425,2093
"70",1,1,1,1,0,0,0,0,-1.77495778065193,37.8311080419166,59
"71",1,1,1,1,0,0,0,0,-1.2920265149304,49.1180508844484,1013
"72",1,1,1,1,0,0,0,0,-2.11133895469509,46.6976246077141,2371
"73",1,1,1,1,0,0,0,0,-1.63368661172073,49.0643371904015,1435
"74",1,1,1,1,0,0,0,0,-2.08412398361909,47.6401745498579,2060
"75",1,1,1,1,0,0,0,0,-1.99362895329306,47.8997550235528,2123
"76",1,1,1,1,0,0,0,0,-1.65504375535317,49.3609969118072,263
"77",1,1,1,1,0,0,0,0,-1.11297913938031,41.0909107930777,2577
"78",1,1,1,1,0,0,0,0,-1.72332028171355,24.0326286237855,2905
