"","ACAM","AMME","GITR","LENI","MAEL","MICA","PLER","PLNO","TWIL","feasibility","niche_diff","fitness_diff","draw"
"61",0,0,1,1,0,1,1,0,0,0,-3.29264685546769,43.757304587948,3212
"62",0,0,1,1,0,1,1,0,0,0,-2.45536065591015,33.691182416951,2246
"63",0,0,1,1,0,1,1,0,0,0,-2.39380472114923,33.09806091102,2312
"64",0,0,1,1,0,1,1,0,0,0,-2.36525910522036,45.1880959527022,1120
"65",0,0,1,1,0,1,1,0,0,0,-2.43925742604436,46.8173138422964,2591
"66",0,0,1,1,0,1,1,0,0,0,-3.51675878051268,38.816782514302,295
"67",0,0,1,1,0,1,1,0,0,0,-2.62900158885696,45.8862126232259,1175
"68",0,0,1,1,0,1,1,0,0,0,-5.17435823843731,41.9600700685536,594
"69",0,0,1,1,0,1,1,0,0,0,-3.92118739078482,39.0556394918836,1605
"70",0,0,1,1,0,1,1,0,0,0,-2.46780999103402,44.5498296603818,2088
"71",0,0,1,1,0,1,1,0,0,0,-2.26558109935072,44.9658803661681,3322
"72",0,0,1,1,0,1,1,0,0,0,-3.09312631616927,48.0577860889024,541
"73",0,0,1,1,0,1,1,0,0,0,-2.9302781426701,52.7989899062411,1145
"74",0,0,1,1,0,1,1,0,0,0,-2.37274206551385,46.3352128015625,1478
"75",0,0,1,1,0,1,1,0,0,0,-2.31719669860625,33.6111392275032,1780
"76",0,0,1,1,0,1,1,0,0,0,-2.29830163882844,48.7316516299248,2507
"77",0,0,1,1,0,1,1,0,0,0,-2.82811524798786,54.2477847664306,1567
"78",0,0,1,1,0,1,1,0,0,0,-3.28349345526202,32.5591696711812,3407
"79",0,0,1,1,0,1,1,0,0,0,-3.52507420295905,45.6196000394506,3380
"80",0,0,1,1,0,1,1,0,0,0,-2.18270798985283,53.2232606916189,3618
"81",0,0,1,1,0,1,1,0,0,0,-2.90723093191895,35.2558203199519,3075
"82",0,0,1,1,0,1,1,0,0,0,-2.6456775954165,33.6443571695284,3484
"83",0,0,1,1,0,1,1,0,0,0,-2.86754487907754,42.0194407960996,696
"84",0,0,1,1,0,1,1,0,0,0,-3.76351136379082,37.1290369596731,2402
"85",0,0,1,1,0,1,1,0,0,0,-2.62738270504771,34.4011182144535,425
"86",0,0,1,1,0,1,1,0,0,0,-2.91730971403484,46.1547703425891,3025
