"","ANAR","BRHO","BRNI","CESO","LOMU","TACA","THIR","feasibility","niche_diff","fitness_diff","draw"
"85",1,1,1,1,0,0,0,0,-2.67990996249473,60.5861855834564,3738
"86",1,1,1,1,0,0,0,0,-1.78673295628744,43.670839400655,1567
"87",1,1,1,1,0,0,0,0,-4.15624159414967,44.5499893129042,1930
"88",1,1,1,1,0,0,0,0,-1.2568288673779,37.2857328638788,3714
"89",1,1,1,1,0,0,0,0,-2.23794997407759,32.4637982274977,435
"90",1,1,1,1,0,0,0,0,-1.36622496259733,30.643417452381,1461
"91",1,1,1,1,0,0,0,0,-1.70434144814429,40.1896028420397,2661
"92",1,1,1,1,0,0,0,0,-1.86323507144192,25.8045892626451,1967
"93",1,1,1,1,0,0,0,0,-1.88173444020494,21.8022862737183,2087
"94",1,1,1,1,0,0,0,0,-2.22226459328588,32.3963879968927,2137
"95",1,1,1,1,0,0,0,0,-1.69921843246137,44.5242602306128,2578
"96",1,1,1,1,0,0,0,0,-3.56257205399152,37.1500166086639,899
"97",1,1,1,1,0,0,0,0,-2.51514148612148,40.3168689360524,3030
"98",1,1,1,1,0,0,0,0,-1.80782130731482,60.9415623570899,2602
"99",1,1,1,1,0,0,0,0,-1.22170876065402,49.6852184505638,394
"100",1,1,1,1,0,0,0,0,-1.63514713452281,42.801905302478,3326
"101",1,1,1,1,0,0,0,0,-1.0671302077144,37.4199512259908,2240
"102",1,1,1,1,0,0,0,0,-1.66113497233491,41.0374645074252,1979
"103",1,1,1,1,0,0,0,0,-1.36490302483103,38.7600221877113,1871
"104",1,1,1,1,0,0,0,0,-1.98177321335834,29.7061607932112,1013
"105",1,1,1,1,0,0,0,0,-2.43682917141736,35.2818004315337,2509
"106",1,1,1,1,0,0,0,0,-1.6695352138504,34.7366310906473,602
"107",1,1,1,1,0,0,0,0,-2.61562761323793,26.6428447911833,2794
"108",1,1,1,1,0,0,0,0,-1.42132980381984,44.7190681764524,3694
"109",1,1,1,1,0,0,0,0,-2.41712854911534,40.5178211855759,860
"110",1,1,1,1,0,0,0,0,-1.28030041771069,25.7410124333894,2978
"111",1,1,1,1,0,0,0,0,-1.27145668529917,32.4301807222695,1401
"112",1,1,1,1,0,0,0,0,-4.97950135420903,34.6047130582557,763
"113",1,1,1,1,0,0,0,0,-1.50025514468934,43.4848733989632,192
"114",1,1,1,1,0,0,0,0,-1.96754318051253,32.9067958502009,1028
"115",1,1,1,1,0,0,0,0,-2.19667357478969,25.0050223562574,2111
"116",1,1,1,1,0,0,0,0,-1.51723057879527,25.3710235581994,532
"117",1,1,1,1,0,0,0,0,-1.56134513523392,46.4328412964703,2623
"118",1,1,1,1,0,0,0,0,-1.43215661887319,46.839370328139,2909
"119",1,1,1,1,0,0,0,0,-1.23815463760436,50.88305235591,867
"120",1,1,1,1,0,0,0,0,-1.28922134713632,40.5655157119948,855
"121",1,1,1,1,0,0,0,0,-2.05476399711899,27.2332931978168,3071
"122",1,1,1,1,0,0,0,0,-1.93020180249453,59.5750803838832,1248
"123",1,1,1,1,0,0,0,0,-0.932039737302417,41.5431026348027,2801
"124",1,1,1,1,0,0,0,0,-1.57214536551487,40.6122764508452,176
"125",1,1,1,1,0,0,0,0,-1.57251693889703,45.9145842958478,2142
"126",1,1,1,1,0,0,0,0,-1.53936563360596,39.1911021920067,1684
"127",1,1,1,1,0,0,0,0,-2.7632005928324,46.879885177409,3254
"128",1,1,1,1,0,0,0,0,-1.56680071749271,41.333062300082,2873
"129",1,1,1,1,0,0,0,0,-1.60700227433983,43.8559003859469,3299
"130",1,1,1,1,0,0,0,0,-1.66042400170246,31.7910475701882,1532
"131",1,1,1,1,0,0,0,0,-2.02177030705108,35.3214777107671,3099
"132",1,1,1,1,0,0,0,0,-1.94322604224755,47.4815502341619,905
"133",1,1,1,1,0,0,0,0,-1.53048763851122,14.6849947782607,3152
"134",1,1,1,1,0,0,0,0,-1.9967320342885,44.58962912157,1456
"135",1,1,1,1,0,0,0,0,-2.0793968197685,31.8801731499129,649
"136",1,1,1,1,0,0,0,0,-1.35367679699019,37.4793447043371,2525
"137",1,1,1,1,0,0,0,0,-2.34603459932219,36.3197237169716,3279
"138",1,1,1,1,0,0,0,0,-1.65539845326701,33.6311844144535,369
"139",1,1,1,1,0,0,0,0,-1.28086797909185,52.1353327059306,1910
"140",1,1,1,1,0,0,0,0,-2.27970023223085,56.6768407753149,298
"141",1,1,1,1,0,0,0,0,-2.09103683527697,28.2869503142374,631
"142",1,1,1,1,0,0,0,0,-1.37261632707604,29.2950114675141,457
"143",1,1,1,1,0,0,0,0,-1.66888728942033,37.4740596483246,2120
"144",1,1,1,1,0,0,0,0,-2.12609725757927,35.2939426489342,1374
"145",1,1,1,1,0,0,0,0,-2.03935084028314,44.6457412985257,1408
"146",1,1,1,1,0,0,0,0,-0.944132398593373,52.5005908621739,2660
"147",1,1,1,1,0,0,0,0,-1.92534768864709,19.2152709080271,2619
"148",1,1,1,1,0,0,0,0,-1.69390478991156,39.8362230310863,2350
"149",1,1,1,1,0,0,0,0,-3.01012399598526,39.5400850684755,1075
"150",1,1,1,1,0,0,0,0,-1.85286239712411,41.3408205416782,2419
"151",1,1,1,1,0,0,0,0,-1.00774185610187,32.6017371743263,2508
"152",1,1,1,1,0,0,0,0,-1.84498273635908,35.5792513426779,790
"153",1,1,1,1,0,0,0,0,-2.81539528527828,19.6053996821061,3646
"154",1,1,1,1,0,0,0,0,-3.97022581774795,31.7069216304849,865
"155",1,1,1,1,0,0,0,0,-2.45539594548418,44.7931684933573,2943
"156",1,1,1,1,0,0,0,0,-1.90152829604686,32.736114523743,2957
"157",1,1,1,1,0,0,0,0,-0.307666990327516,24.2683005139242,1798
"158",1,1,1,1,0,0,0,0,-2.87684597178534,40.8524197730427,40
"159",1,1,1,1,0,0,0,0,-2.03765922253291,34.2172920957896,774
"160",1,1,1,1,0,0,0,0,-1.40911068606269,32.052091326722,1333
"161",1,1,1,1,0,0,0,0,-1.11596942312422,30.4937972484142,3232
"162",1,1,1,1,0,0,0,0,-1.72985966946427,31.7452645916776,927
"163",1,1,1,1,0,0,0,0,-1.12429263328639,23.6696175778098,3352
"164",1,1,1,1,0,0,0,0,-2.33788654893204,39.1572850834109,2165
"165",1,1,1,1,0,0,0,0,-1.50676702878308,38.6477228027131,2610
"166",1,1,1,1,0,0,0,0,-2.02912540079581,27.4883026552789,1709
"167",1,1,1,1,0,0,0,0,-1.21769664043141,40.6138477854158,151
"168",1,1,1,1,0,0,0,0,-1.48393673969183,25.0555358059552,3217
"169",1,1,1,1,0,0,0,0,-1.91316610851608,35.032124168277,2347
"170",1,1,1,1,0,0,0,0,-1.3647840685406,41.1791999217099,1817
"171",1,1,1,1,0,0,0,0,-1.21138578037556,40.0911070889909,129
